Job Title,Company,Location,Experience Required,Job URL,Posted Date,Source,Description,Priority Score,Days Since Posted,Freshness,Salary,Deadline,Days Until Deadline,Skills Match %,Ready to Apply,Applied,Applied Date,Application Method,Application Error,Status,Notes
Software Engineers | $50-$150/hr,HelixRecruit,Remote,,https://justremote.coremote-developer-jobs/software-engineers-100-200-hr-helixrecruit,,JustRemote,,45,None,Unknown,$50-150,,,0.0,Yes,No,,,,Not Applied,
Software Engineers | $50-$150/hr,HelixRecruit,Remote,,https://justremote.co,,JustRemote,,45,None,Unknown,$50-150,,,0.0,Yes,No,,,,Not Applied,
Android Engineer II,Expedia,,,https://careers.expediagroup.com/job/android-engineer-ii/chicago-IL/R-101712/,,Expedia,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
iOS Engineer II,Expedia,,,https://careers.expediagroup.com/job/ios-engineer-ii/chicago-IL/R-101652/,,Expedia,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
"Senior Software Development Engineer, Advertising Technology",Expedia,,,https://careers.expediagroup.com/job/senior-software-development-engineer-advertising-technology/chicago-IL/R-101285/,,Expedia,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
iOS Engineer III - Design System,Expedia,,,https://careers.expediagroup.com/job/ios-engineer-iii-design-system/chicago-IL/R-99287/,,Expedia,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
Salesforce Software Development Engineer II,Expedia,,,https://careers.expediagroup.com/job/salesforce-software-development-engineer-ii/austin-TX/R-98381/,,Expedia,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
Salesforce Software Development Engineer II,Expedia,,,https://careers.expediagroup.com/job/salesforce-software-development-engineer-ii/seattle-WA/R-98381-1/,,Expedia,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
Senior Software Development Engineer,Expedia,,,https://careers.expediagroup.com/job/senior-software-development-engineer/austin-TX/R-100271/,,Expedia,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
"Android Engineer III, Design System",Expedia,,,https://careers.expediagroup.com/job/android-engineer-iii-design-system/austin-TX/R-99606/,,Expedia,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
Senior Financial Analyst - Multiple RolesRemote - Americas,Shopify,Remote - Americas,,https://www.shopify.com/careers/senior-financial-analyst-multiple-roles_40ef1cb0-5c56-4963-84fe-946708e5d74a,,Shopify,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
GCR Revenue Marketing Lead - Growth ProgramsRemote - Singapore,Shopify,Remote - Singapore,,https://www.shopify.com/careers/gcr-revenue-marketing-lead-growth-programs_ac97a178-0b1d-4b8d-99b5-4a82092b2b08,,Shopify,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
"AGC, PartnershipsRemote - Americas",Shopify,Remote - Americas,,https://www.shopify.com/careers/agc-partnerships_5de9add2-829e-4307-8d9e-20ee3353d237,,Shopify,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
"Senior Product Partnerships Manager, Shipping & LogisticsRemote - Americas",Shopify,Remote - Americas,,https://www.shopify.com/careers/senior-product-partnerships-manager-shipping-logistics_a49fc193-1aca-4a52-8cde-3bc591fb1109,,Shopify,,25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
Junior Multimedia Designer,ALX Africa,Remote,,https://remoteOK.com/remote-jobs/remote-junior-multimedia-designer-alx-africa-1130177,,RemoteOK,"<p><em>Are you a creative designer who can bring ideas to life through illustrations, infographics, and motion graphics? Do you know how to turn data into engaging visuals and learning content that captivates audiences? Can you storyboard, animate, and edit video and audio into polished, impactful material? Are you confident working within brand guidelines while still delivering fresh, innovative designs? Do you thrive under pressure, balancing multiple projects with precision, creativity, and c...",25,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
Senior Software Engineer India,Alpaca,Remote,,https://remoteOK.com/remote-jobs/remote-senior-software-engineer-india-alpaca-1130162,,RemoteOK,"<p><strong>Who We Are:</strong></p>
<p>Alpaca is a US-headquartered self-clearing broker-dealer and brokerage infrastructure for stocks, ETFs, options, crypto, fixed income, 24/5 trading, and more. Our&nbsp;<a href=""https://alpaca.markets/blog/alpaca-raises-150-million-at-a-1-15b-valuation-to-build-the-global-standard-for-brokerage-infrastructure/"">recent Series D funding round</a> brought our total investment to over $320 million, fueling our ambitious vision.</p>
<p>Amongst our subsidiaries, A...",20,None,Unknown,$1-15,,,0.0,Yes,No,,,,Not Applied,
"Software Engineer, Backend",Grab,,,https://grab.careers/en/jobs/744000108679805/software-engineer-backend/,,Grab,,0,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
"Senior Software Engineer, Fullstack",Grab,,,https://grab.careers/en/jobs/744000108679641/senior-software-engineer-fullstack/,,Grab,,0,None,Unknown,,,,0.0,Yes,No,,,,Not Applied,
